código,glosa,clasificación
EQM200088,"ADQUISICION DE UN ANALIZADOR DE CARBONO Y NITROGENO EN MUESTRAS LIQUIDAS Y SOLIDAS PARA ESTIMAR CONTENIDO, ACUMULACION Y PERDIDA DE CARBONO EN TURBERAS, BOSQUES Y CUERPOS DE AGUA DE LA PATAGONIA",otro
11200024,CARBON DYNAMICS IN PATAGONIAN PEATLANDS: ARE BEAVERS TRANSFORMING CARBON SINKS INTO NET CARBON SOURCES?,otro
11200969,"ENTRE EL MAR Y LA TIERRA: ARQUEOLOGIA DEL SENO SKYRING, OTWAY Y  OBSTRUCCION, UN ESPACIO DE INTERACCION CULTURAL Y AMBIENTAL DURANTE EL HOLOCENO TARDIO EN PATAGONIA",otro
NODOSLN0002,RED COLABORATIVA PARA EL DESARROLLO DEL LABORATORIO NATURAL SUBANTARTICO: FORTALECIMIENTO DE LA INVESTIGACION CIENTIFICA Y SUS IMPACTOS SOCIOAMBIENTALES Y ECONOMICOS EN LA MACROZONA AUSTRAL,otro
EQM210006,"ADQUISICION DE ESPECTROMETRO DE RESONANCIA MAGNETICA NUCLEAR DE 100 MHZ PARA FORTALECIMIENTO DE LA INVESTIGACION QUIMICA DE ECOSISTEMAS DE PATAGONIA, TIERRA DEL FUEGO Y ANTARTICA.",otro
SA77210055,ARTROPODOS EN PATAGONIA MERIDIONAL: CAMBIO CLIMATICO Y RELACIONES SOCIO-ECOLOGICAS,otro
1211976,EL POBLAMIENTO TEMPRANO DEL ARCHIPIELAGO FUEGO-PATAGONICO (53º- 56º LATITUD SUR): REEVALUACION DE LA CRONOLOGIA Y DISTRIBUCION ESPACIAL DE EVIDENCIAS PARA LAS ADAPTACIONES MARITIMAS DEL CONFIN DEL MUNDO.,otro
ID22I10139,"DISEÑO DE UN MODELO DE STOCKS Y FLUJOS DE CARBONO COMO ACTIVO AMBIENTAL, PARA MITIGAR EL CAMBIO CLIMATICO EN SISTEMAS PASTORILES SUBANTARTICOS.",otro
ID23I10288,DETERMINACION DE LA HUELLA ESPECTRAL DE LOS BOSQUES DE HUIRO “KELP” Y DE LA FLORA ASOCIADA PARA CUANTIFICAR Y VALORAR LOS RESERVORIOS Y FLUJOS DE CARBONO EN ECOSISTEMAS MARINOS DE LA REGION SUBANTARTICA DE MAGALLANES ,otro
1180272,COMPARACION DEL REGISTRO ARQUEOLOGICO Y PALEOECOLOGICO DE ULTIMA ESPERANZA Y PALI-AIKE A FINES DEL PLEISTOCENO: SU SIGNIFICADO PARA ENTENDER LOS PROCESOS DE INSERCION HUMANA EN PATAGONIA MERIDIONAL,otro
AUB1900003,CABO DE HORNOS: PLATAFORMA PARA LA PROSPECCION GLACIAR-OCEANICA DE FLORACIONES ALGALES NOCIVAS EN LA REGION DE MAGALLANES Y ANTARTICA CHILENA (PROFAN MAGALLANES),otro
1210045,BARRERAS BIOGEOGRAFICAS EN LA CIRCULACION E INTERACCION DE CAZADORES RECOLECTORES PESCADORES MARINOS. EL ROL DE PENINSULA DE TAITAO Y GOLFO DE PENAS (~47°S) EN LA DIFERENCIACION DE LAS TRAYECTORIAS CULTURALES DE PATAGONIA OCCIDENTAL.,otro
1180717,HIGH-RESOLUTION HOLOCENE GLACIAL CHRONOLOGIES ACROSS PATAGONIA (47°-51°S): TESTING MECHANISMS OF INITIATION AND MODULATION OF GLACIAL EVENTS IN THE SOUTHERN ANDES.,otro
1180815,GLACIAL AND POSTGLACIAL VEGETATION AND CLIMATE HISTORY OF THE TEMPERATE ECOSYSTEM OF CHILEAN CENTRAL PATAGONIA (44º-49ºS),otro
ER190004,PAR MAGALLANES Y ANTARTICA CHILENA,otro
EQM220014,"FORTALECIMIENTO DE LA OCEANOGRAFIA OBSERVACIONAL, DOCENCIA E INVESTIGACION EN EL OCEANO AUSTRAL (ANTARTICA) Y EN LA MACROZONA AUSTRAL, MEDIANTE LA ADQUISICION DE UN PLANEADOR SUBMARINO AUTONOMO, GLIDER.",otro
AUB2000006,EXPLORANDO LA OCEANOGRAFIA DE ISLAS Y BAHIAS Y SU INCIDENCIA EN LA RECURRENCIA DE FLORACIONES ALGALES NOCIVAS EN LA REGION DE MAGALLANES Y ANTARTICA CHILENA (EXOFAN MAGALLANES),otro
TA23I10057,BIOINOCULANTE EN BASE A BACTERIAS NATIVAS COMO UNA ALTERNATIVA SOSTENIBLE PARA MEJORAR LA PRODUCTIVIDAD DE PRADERAS Y CULTIVOS DE LA REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,otro
INID220019,SCI-HUB AUSTRAL: IMPLEMENTACION Y FORTALECIMIENTO DE CAPACIDADES HABILITANTES PARA EL ECOSISTEMA DE INNOVACION Y EMPRENDIMIENTO EN EL CONTEXTO ANTARTICO Y SUBANTARTICO,otro
R12C1001,"CONTINUIDAD CREACION DEL CENTRO REGIONAL DE ESTUDIOS EN ALIMENTOS SALUDABLES, CREAS V REGION",salud
ART1101,IMPACTO DEL CAMBIO GLOBAL SOBRE LA FISIOLOGIA DE MACROALGAS ANTARTICAS: CONSECUENCIAS PARA PROCESOS COSTEROS EN ESCENARIOS DE INCREMENTADA TEMPERATURA Y RADIACION UV,otro
ART1102,ECOFISIOLOGIA EN PLANTAS ANTARTICAS: ESCLARECIENDO LAS CONSECUENCIAS BIOLOGICAS DEL CAMBIO CLIMATICO EN POBLACIONES VEGETALES DE LA ANTARTICA MARITIMA,otro
SOC1101,COMPLEJIDAD SOCIAL,otro
SOC1102,ECONOMIC HISTORY AND CLIOMETRICS LAB,otro
SOC1103,REPENSANDO LAS PRACTICAS DE DIVERSIDAD EN LAS ESCUELAS: UN PROGRAMA COLABORATIVO CON PROFESORES Y PROFESORAS EN EJERCICIO,otro
SOC1104,MEJORAMIENTO DE LA EFECTIVIDAD ESCOLAR EN CHILE.,otro
SOC1105,CENTRO DE INVESTIGACION PARA LA COMPETITIVIDAD INTERNACIONAL,otro
SOC1106,PROPUESTAS DE REDISEÑO INSTITUCIONAL Y REFORMULACION DE POLITICAS PUBLICAS A PARTIR DEL ANALISIS DE LA INCIDENCIA DE LOS GOBIERNOS REGIONALES Y LOCALES EN LA CALIDAD DE VIDA EN LAS CIUDADES METROPOLITANAS DE CHILE.,otro
SOC1107,ESTADISTICA PARA LA POLITICA PUBLICA EDUCACIONAL: ANALISIS Y USOS DE DATOS OBSERVACIONALES,otro
SOC1108,"JUVENTUDES. TRANSFORMACIONES SOCIOECONOMICAS, SOCIOPOLITICAS Y SOCIOCULTURALES DE LAS Y LOS JOVENES EN EL CHILE CONTEMPORANEO",otro
SOC1109,RELACIONES TRANSFRONTERIZAS ENTRE BOLIVIA Y CHILE: PARADIPLOMACIA Y PRACTICAS SOCIALES 1904-2004,otro
SOC1110,ILUMINANDO UN DILEMA EDUCACIONAL EN LA COMPLEJIDAD DE UN MUNDO MULTICULTURAL: FORTALECIMIENTO LA FORMACION EN ETICA E INTERCULTURALIDAD EN ESTUDIANTES UNIVERSITARIOS/AS Y PROFESIONALES,otro
SOC1111,ESTUDIOS HISTORICO-DOGMATICOS DE DERECHO PATRIMONIAL PRIVADO: UNA MIRADA A LOS ARTICULOS DE LOS LIBROS II Y IV DEL CODIGO CIVIL DE CHILE.,otro
ACT1101,ESTABLECIENDO EL ROL DE LAS FUSIONES EN EL CRECIMIENTO DE AGUJEROS NEGROS Y LA EVOLUCION GALACTICA,otro
ACT1102,ATLAS ANDINO: FISICA EN EL LHC Y SUS APLICACIONES,otro
ACT1103,CENTRO DE SISTEMAS DINAMICOS Y TEMAS RELACIONADOS,otro
ACT1104,SENSOR DE VOLTAGE DE CANALES DE IONES: DESDE LA ESTRUCTURA A LA FUNCION,salud
ACT1105,DISEÑO DE MATRICES ALIMENTARIAS SALUDABLES,salud
ACT1106,ANALISIS DE PROBLEMAS DE CONTROL Y APLICACIONES.,otro
ACT1107,INTEGRACION DE LA BIOLOGIA ESTRUCTURAL AL DESARROLLO DE LA BIONANOTECNOLOGIA,otro
ACT1108,FABRICACION DE NANO-DISPOSITIVOS PARA MEDICIONES DE ALTA PRECISION EN BIOLOGIA Y MATERIALES NANOESTRUCTURADOS DE INTERES BIOMEDICO,salud
ACT1109,INICIATIVA DE RED NEURONAL (IRN): ENTENDIENDO LAS CAUSAS DE LA VULNERABILIDAD NEURONAL DIFERENCIAL EN ENFERMEDADES,salud
ACT1110,CENTRO AVANZADO PARA EL ESTUDIO INTEGRATIVO DE MADURACION DE FRUTOS : BASES MOLECULARES Y FISIOLOGICAS DE COMPLEJOS TRAITS DE CALIDAD EN LA FRUTILLA CHILENA(ACIS),otro
ACT1111,"SEÑALIZACION POR ESTRES METABOLICO EN CANCER, ENFERMEDADES CARDIOVASCULARES Y DIABETES.",salud
ACT1112,"RED DE ANALISIS ESTOCASTICO Y APLICACIONES (SISTEMAS ABIERTOS, ENERGIA Y DINAMICA DE LA INFORMACION)",otro
ACT1113,ESTUDIO DEL PAPEL FISIOLOGICO DE LOS CANALES TRP EN LA TERMOTRANSDUCCION Y LA PLASTICIDAD SINAPTICA,salud
ACT1114,ANILLO DE INVESTIGACION EN ESTRES OXIDATIVO DEL SISTEMA NERVIOSO. ASPECTOS FISIOLOGICOS Y PATOLOGICOS.,salud
ACT1115,"FISICA DE PLASMA, POTENCIA PULSADA Y BIOLOGIA CELULAR PARA ENERGIA, VIDA Y MEDIO AMBIENTE",otro
ACT1116,MECANISMOS FISIOPATOLOGICOS DE ENFERMEDADES CRONICAS DEL ADULTO IMPUESTAS POR LA ALTERACION CIRCADIANA PRENATAL: VALOR TERAPEUTICO DEL TRATAMIENTO CON MELATONINA A LA MADRE EXPUESTA A TURNOS NOCTURNOS DURANTE LA GESTACION.,salud
ACT1117,PROGRAMA INTERDISCIPLINARIO DE NANOMATERIALES Y SISTEMAS MOLECULARES,otro
ACT1118,ANILLO DE INVESTIGACION EN ANALISIS NUMERICO DE ECUACIONES DIFERENCIALES PARCIALES (ANANUM),otro
ACT1119,MECANISMOS MOLECULARES DEL CANCER: EXAMINANDO LA FUNCION DE LA CROMATINA EN LA REPLICACION DE HBV Y LEUCEMIA,salud
ACT1120,CENTRO PARA LA INVESTIGACION MULTIDISPLINARIA EN PROCESAMIENTO DE SEÑALES,otro
ACT1121,MECANISMOS MOLECULARES Y CELULARES DE DISTROFIA MUSCULAR RELACIONADA CON MUTACIONES DE DISFERLINA.,salud
ACT1122,TESTEANDO LAS TEORIAS FUNDAMENTALES DE LA NATURALEZA A TRAVES DE NUEVAS OBSERVACIONES COSMOLOGICAS Y ASTROFISICAS,otro
15110006,CENTRO INTERDISCIPLINARIO DE ESTUDIOS INTERCULTURALES E INDIGENAS (CIIR),otro
15110009,CENTRO DE CIENCIA DEL CLIMA Y LA RESILENCIA (CR)2,otro
15110017,CENTRO NACIONAL DE INVESTIGACION PARA LA GESTION INTEGRADA DE LOS DESASTRES NATURALES (CIGIDEN),otro
15110019,CENTRO PARA LA INVESTIGACION EN ENERGIA SOLAR (SERC-CHILE),otro
15110020,CENTRO PARA EL DESARROLLO URBANO SUSTENTABLE (CEDEUS),otro
15110027,CENTRO INTERDISCIPLINARIO DE INVESTIGACION EN ACUICULTURA SUSTENTABLE (INCAR),otro
DIP121203,DIPLOMADO EN INNOVACION Y EMPRENDIMIENTO,otro
R11F1005,"FORTALECIMIENTO DE CAPACIDADES EN GESTION, VINCULACION Y DIFUSION CIENTIFICA - TECNOLOGTCA DEL CENTRO DE I+D DE LA REGION DE LOS LAGOS, CIEN AUSTRAL",otro
78111301,USO DE COMPUESTOS NATURALES PROVENIENTES DE ACTINOMICETOS ANTARTICOS PARA AUMENTAR LA SEGURIDAD ALIMENTARIA EN PLANTAS DE PROCESO Y FRIGORIFICOS.,otro
D11I1007,UPRPLUS UNA NUEVA TERAPIA GENICA PARA EL TRATAMIENTO DE LA ENFERMEDAD DE PARKINSON,salud
D11I1009,SISTEMA DE AUTO SOPORTE PARA EL MEJORAMIENTO DE LAS PRACTICAS DOCENTES,otro
D11I1024,LA BOTANICA FORENSE EN LA INVESTIGACION POLICIAL,otro
D11I1029,INCORPORACION DE LA SECUENCIACION DE ULTIMA GENERACION EN EL CUIDADO DE LOS PACIENTES CON CANCER,salud
D11I1036,CARACTERIZACION Y PRODUCCION DE COMPUESTOS ANTIGENICOS TUMORALES PARA ACTIVACION EX-VIVO DE CELULAS AUTOLOGAS DE USO POTENCIAL EN INMUNOTERAPIA CELULAR CONTRA EL CANCER,salud
D11I1060,DESARROLLO DE UNA PLATAFORMA ASTROINFORMATICA PARA LA ADMINISTRACION Y ANALISIS INTELIGENTE DE DATOS A GRAN ESCALA,otro
D11I1067,OBTENCION DE UN EXTRACTO LIPIDICO CON ACTIVIDAD INHIBIDORA DEL APETITO A PARTIR DE SEMILLAS DE GIMNO SPERMAS INTRODUCIDAS,salud
D11I1080,CARACTERIZACION DE UNA VACUNA RECOMBINANTE CONTRA EL VIRUS RESPIRATORIO SINCICIAL,salud
D11I1096,MICROSCOPIA VIRTUAL - CENTRO DE PATOLOGIA DIGITAL ASISTIDA POR INTERNET -,salud
D11I1098,NUEVA FORMULACION FARMACOLOGICA PARA EL TRATAMIENTO Y LA PREVENCION DE LA HIPERTENSION ARTERIAL Y DI SFUNCION VASCULAR: RESPUESTA INTEGRADA A UNA PATOLOGIA MULTIFACTORIAL.,salud
D11I1109,"ELABORACION, VALIDACION  Y APLICACION DE INSTRUMENTOS DE DIAGNOSTICO DE  OPORTUNIDADES DE APRENDIZAJ E PARA EL LOGRO DE LOS ESTANDARES NACIONALES EN LA FORMACION DE PROFESORES DE EDUCACION BASICA",otro
D11I1119,DISEÑO E IMPLEMENTACION DE UNA BASE DE DATOS DE PREDICCION DE TSUNAMIS PARA LA COSTA CHILENA UTILIZA NDO MODELACION COMPUTACIONAL DE ALTO RENDIMIENTO,otro
D11I1122,"ANGIOTENSINA-(1-9), UN NUEVO PRINCIPIO ACTIVO PARA EL TRATAMIENTO DE LA HIPERTENSION Y DEL DAÑO CARD IOVASCULAR Y RENAL SECUNDARIOS: ESTUDIO Y DESARROLLO PRECLINICOS",salud
D11I1123,APLICACION DE LA NANOTECNOLOGIA PARA EL DESARROLLO DE UN NUEVO ADSORBEDOR DE ETILENO ORIENTADO A LA PRODUCCION DE ENVASES PARA FRUTAS CLIMATERICAS,otro
D11I1131,"IDENTIFICACION, DESARROLLO Y VALIDACION DE NUEVAS MOLECULAS INHIBIDORAS DE LOS TRANSPORTADORES DE GL UCOSA PARA SU APLICACION EN EL CONTROL DE LA HIPERGLICEMIA CARACTERISTICA DE LA DIABETES MELLITUS, O BESIDAD Y SINDROME METABOLICO",salud
D11I1134,"DESARROLLO DE TECNICAS DE MANEJO PARA PRODUCIR PIÑONES DE PINO PIÑONERO (PINUS PINEA L.), UNA  OPCIO N COMERCIAL ATRACTIVA PARA CHILE",otro
D11I1137,SISTEMA DE PRONOSTICOS DE PESQUERIAS PELAGICAS CHILENAS FRENTE A DIVERSOS ESCENARIOS DEL CAMBIO CLIM ATICO,otro
D11I1139,GESTION DEL POTENCIAL REDOX EN LA CADENA DE ELABORACION DEL VINO Y SU IMPACTO EN LA CALIDAD,otro
D11I1140,DETECCION DE VPM MEDIANTE METODOS IN VITRO ALTERNATIVOS AL BIOENSAYO RATON: GENERACION DE SOLUCIONES /HERRAMIENTAS BIOTECNOLOGICAS PARA MONITOREOS RUTINARIOS DE MAREA ROJA,salud
D11I1161,"EUCAHYDRO: HERRAMIENTAS PARA EVALUACION TEMPRANA DE GENOTIPOS DE EUCALYPTUS DE MAYOR EFICIENCIA EN E L USO, CONSUMO DE AGUA Y RESISTENCIA A LA SEQUIA",otro
D11I1162,SISTEMA DE PROYECCION Y EVALUACION DE IMPACTO DE LA INVERSION REGIONAL,otro
D11I1188,GENERACION Y DESARROLLO DE UNA VACUNA RECOMBINANTE EFICAZ CONTRA EL CIRCOVIRUS PORCINO TIPO 2 POTENC IADA CON CITOQUINAS INMUNO-REGULADORAS: UNA SOLUCION BIOTECNOLOGICA PARA LA PORCICULTURA NACIONAL.,salud
D11I1190,ACIDOS ORGANICOS Y RESINAS NATURALES A PARTIR DE RESIDUOS LIGNOCELULOSICOS,otro
D11I1197,DESARROLLO DE ENVASES ACTIVOS BIODEGRADABLES Y SU APLICACION EN EL SECTOR DEL FOOD PACKAGING PARA PR ODUCTOS DE EXPORTACION,otro
D11I1210,"DESARROLLO DE MATERIALES POLIMERICOS ANTIMICROBIANOS CON NANOESTRUCTURAS DEL TIPO NUCLEO-CORAZA (COB RE-PLATA) COMO AGENTE ACTIVO, PARA LA PREVENCION DE INFECCIONES INTRAHOSPITALARIA",salud
D11I1213,DESARROLLO DE MATERIALES BASADOS EN CARBONO A NANOESCALA PARA SER UTILIZADOS EN REMPLAZO DE LOS ANOD OS DE PLOMO EMPLEADOS EN LA ELECTRO-OBTENCION DE COBRE,otro
D11I1226,DESARROLLO DE PAPELES BIOACTIVOS EN BASE A MEZCLAS DE PULPA DE ALGAS Y FIBRAS SECUNDARIAS,otro
D11R0002,"CONSTRUCCION, INSTALACION Y PUESTA EN MARCHA DE GASIFICADORES DE BIOMASA PARA LAS COMUNIDADES AISLADAS.",otro
D11R1002,SIN INFORMACION,otro
D11R1002,"CONSTRUCCION, INSTALACION Y PUESTA EN MARCHA DE GASIFICADORES DE BIOMASA PARA COMUNIDADES AISLADAS",otro
100/108/2011-672,MANIPULATION OF QUORUM SENSING SYSTEMS IN BIOLEACHING BACTERIA: INFLUENCES ON BIOFILM FORMATION AND EXTRACELLULAR POLYMERIC SUBSTANCES (EPS) PRODUCTION,otro
100/108/2011-698,BUSQUEDA DE SUSTANCIAS BIOACTIVAS EN BACTERIAS FOTOTROFASANOXIGENICAS DEL ALTIPLANO CHILENO,otro
100/108/2011-733,CHARACTERIZATION OF THE MODULATION OF TPK CHANNELS BY SIGNALING MOLECULES,salud
100/108/2011-738,PASSIVE IMAGE INTERFEROMETRY FOR THE OBSERVATION OF CURRENT TECTONIC AND VOLCANIC PROCESSES IN CHILE,otro
100/108/2011-761,ECOLOGIA EVOLUTIVA DE LOS PEQUENOS HERBIVOROS MARINOS - LA INFLUENCIA DE LAS CARACTERISTICAS DEL HOSPEDADOR Y DE LAS VARIACIONES LATITUDINALES EN EL POTENCIAL DISPERSIVO,otro
100/102/2011-504,ECOTOXICOGENOMICA POLAR: IDENTIFICACION DE TOXINAS LIPOFILICAS Y ESPECIES PRODUCTORAS A LA LUZ DE LOS EFECTOS DEL CAMBIO CLIMATICO,otro
100/102/2011-533,INTERACCIONES ALGA - HERBIVORO EN ZONAS TEMPLADAS: UNA CARRERA DE ARMAS EN FUNCION DE LAS CARACTERISTICAS DE LAS ALGAS Y LOS HERBIVOROS,otro
100/102/2011-551,ANALISIS DEL IMPACTO EN LA SEGURIDAD Y REGULACION DE FRECUENCIA DEL SISTEMA ELECTRICO CHILENO FRENTE A DIVERSOS ESCENARIOS DE ENERGIA EOLICA,otro
100/102/2011-567,SISTEMA PARA LA OBTENCION DE INFORMACION DE LA CUENCA DESDE LA WEB PARA ENFRENTAR LA SEQUIA EN EL AREA NORTE CENTRAL DE CHILE (ENGL: WEB BASEDRIVERBASININFORMATIONSYSTEMTOSUPPORTDROUGHTMANAGEMENT IN NORTHERN - CENTRAL CHILE),otro
100/102/2011-583,"COOPERACION PARA LA EVALUACION DE UN CONCEPTO DE BIORREFINERIA EN CHILE, EN BASE A PLANTAS OLEAGINOSAS ASI COMO PARA EL INTERCAMBIO DE TECNOLOGIAS PROMETEDORAS",otro
100/102/2011-602,"GRUPO DE ANALISIS DE SISTEMAS DE ENERGIAS RENOVABLES Y MEDIOAMBIENTE, CON ENFASIS EN BIOMASA AGROFORESTAL",otro
100/102/2011-609,METABOLITOS SECUNDARIOS DE HONGOS CHILENOS - ACTIVIDAD BIOLOGICA Y QUIMIOTAXONOMIA. (FRUCHTKORPERCHILENISHERPILZSIPPENUNDIHRESEKUNDARMETABOLITEN - BIOAKTIVITATUNDCHEMOTAXONOMIE),otro
100/102/2011-640,ANALISIS (META) TRANSCRIPTOMICO A TRAVES DE SECUENCIACION DE RNA DE REDES METABOLICAS RELEVANTES EN INVESTIGACION AMBIENTAL Y DE SALUD,salud
100/102/2011-642,SINTESIS DE NUEVOS FLAVONOIDES MEDIANTE TRANSFORMACIONES ENZIMATICAS PARA MEJORAR SU BIOACTIVIDAD,salud
100/104/2011-512,"ESTUDIO, CLASIFICACION Y PREDICCION DE LAS PROPIEDADES MECANICAS DE PELICULAS DE GELATINA REFORZADAS CON NANOFIBRAS DE CELULOSA",otro
100/104/2011-548,RASGADO: FRACTURA EN LAMINAS DELGADAS,otro
100/104/2011-555,LA METALURGIA PREHISTORICA DEL COBRE: UN ENFOQUE COMPARATIVO DE LOS ALPES FRANCESES A INICIOS DE LA EDAD DEL BRONCE Y DEL DESIERTO DE ATACAMA EN LOS PERIODOS PREHISPANICOS TARDIOS,otro
100/104/2011-563,SIMULACION NUMERICA Y VALIDACION EXPERIMENTAL DE LA SOLIDIFICACION DE LA FUNDICION NODULAR: EFECTOS DE LA VELOCIDAD DE ENFRIAMIENTO Y DE ELEMENTOS DE ALEACION SOBRE MICROESTRUCTURA,otro
100/104/2011-574,APLICACION DE BICLUSTERING EN LA PREDICCION DEL COMPORTAMIENTO DELA FERMENTACION VINICA,otro
100/104/2011-613,A PSEUDO CERTIFICATION AUTHORITY FOR PEER TO PEER NETWORKS,otro
100/104/2011-620,CALEMAR CHILOE- DE LA VALORIZACION DE RECURSOS PATRIMONIALES Y PAISAJISTICOS EN CALETAS DE PESCADORES ARTESANALES A LA GESTION INTEGRADA DEL MAR INTERIOR DE CHILOE (CHILE),otro
100/104/2011-643,APROXIMACION NUMERICA DE MODELOS DE FLUJO CINEMATICO DE ESPECIES MULTIPLES,otro
100/104/2011-644,"ENTRE CAZA Y PASTOREO, EL ARTE RUPESTRE DE LA REGION ARICA-PARINACOTA (EXTREMO NORTE DE CHILE)",otro
100/106/2011-380,MANIPULACION DIESTRA USANDO DEDOS ROBOTICOS CON YEMAS DEFORMABLES,otro
100/106/2011-557,COMUNICACION VIA POLARIZACION CUANTICA DE LA LUZ,otro
100/106/2011-579,SINTESIS DE MATERIALES COMPUESTOS A BASE DE POLIURETANOS BIODEGRADABLES Y NANOPARTICULAS BIOACTIVAS PARA REGENERACION OSEA DENTAL,salud
100/106/2011-611,ESTUDIO DE DOCKING MOLECULAR EN PROTEINAS PEGILADAS PARA EL ANALISIS DE SU COMPORTAMIENTO EN CROMATOGRAFIA DE INTERCAMBIO IONICO (IEX) E INTERACCION HIDROFOBICA (HIC),salud
100/114/2011-571,DESARROLLO DE METODOS DE PURIFICACION DE ENZIMAS QUE COMBINAN LA PRECIPITACION DE AFINIDAD CON POLIMEROS DE CADENA FLEXIBLE CARGADOS CON LA CROMATOGRAFIA DE INTERACCION HIDROFOBICA (HIC),salud
100/114/2011-585,EVALUACION DEL EFECTO DEL PROCESAMIENTO DE DIFERENTES VARIEDADES DE LUPINO SOBRE LA BIODISPONIBILIDAD DEL FOSFORO Y NITROGENO MEDIANTE EL USO DE UN SISTEMA DE MODELIZACION GASTROINTESTINAL IN VITRO EN SALMONIDOS,otro
100/114/2011-595,MECANISMOS DE INFECCION DE TRYPANOSOMA CRUZI EN PLACENTA HUMANA: ESTUDIOS DESTINADOS A PREVENIR LA ENFERMEDAD DE CHAGAS CONGENITA,salud
100/114/2011-599,EVALUACION DE LA VARIABILIDAD Y ESTRUCTURA GENETICA DE LA POLILLA DE LA MANZANA (CYDIA POMONELLA) EN ARGENTINA Y CHILE MEDIANTE MARCADORES MOLECULARES,otro
100/114/2011-634,ANALISIS Y DISEÑO DE ALGORITMOS EN REDES DE BAJO CONSUMO APLICADO A CONDICIONES EXTREMAS DE LOS ANDES,otro
100/114/2011-645,"ESTIMACION Y COMPARACION DE LOS PARAMETROS DE HISTORIA DE VIDA DEL PEJEGALLO O PEZ GALLO, CALLORHINCHUS CALLORYNCHUS, DE CHILE Y ARGENTINA. IMPLICANCIAS EN LA EXPLOTACION PESQUERA.",otro
100/114/2011-656,SOLUCIONES LENTAS DE LOS VIENTOS IMPULSADOS POR RADIACION PARA ESTRELLAS TEMPRANAS,otro
100/114/2011-665,EFECTO DEL ESTRADIOL Y SUS ANALOGOS EN EL CANAL DE POTASIO DEPENDIENTE DE VOLTAJE Y CALCIO (BK) MODULADOS POR LAS SUBUNIDADES BETAS,salud
100/109/2011-465,LA COMPOSICION DE AZUCARES DEL FLOEMA: SU EFECTO EN LA TRANSMISION PLANTA - VIRUS MEDIADA POR AFIDOS,otro
100/109/2011-552,MODELACION MATEMATICA DEL COMPORTAMIENTO DE ELASTOMEROS MAGNETO - ACTIVOS,otro
100/109/2011-607,ESTUDIO SOBRE LA CAPTURA DE ELECTRONES SOLVATADOS EN LA INTERFAZ AGUA - VACIO POR MOLECULAS DEL AMBITO BIOLOGICO,otro
100/109/2011-622,MODELAMIENTO DE ERRORES DE CANAL PARA SISTEMAS CELULARES CON ESTACIONES BASE COORDINADAS,otro
